Gender,percentage,Specialization,collegeGPA,CollegeState,GraduationYear,English,Logical,Quant,Domain,ComputerProgramming,Salary
m,71,information technology,61,Rajasthan,2013,180,365,310,0.074546265,255,600000
m,56.6,information technology,71.18,Madhya Pradesh,2012,205,555,470,0.635978756,445,150000
m,61.5,information technology,69.8,Tamil Nadu,2013,215,365,265,0.450876584,395,120000
m,50,computer science & engineering,69.94,Orissa,2013,240,340,430,0.143256541,295,240000
f,61,computer engineering,70,Haryana,2013,250,305,385,0.10487136,275,300000
m,73,electronics and communication engineering,72.54,Uttar Pradesh,2013,250,510,485,0.124502074,445,165000
m,68.6,computer engineering,80.02,West Bengal,2013,250,460,385,0.23780284,365,70000
m,65,electronics & telecommunications,57,Maharashtra,2013,250,425,415,0.538386893,345,180000
m,65.8,electronics and communication engineering,64.8,Uttar Pradesh,2014,250,315,220,0.976292561,375,200000
m,74.5,computer engineering,74.3,Tamil Nadu,2010,255,365,315,0.042223131,225,120000
m,85.5,electronics and communication engineering,65.21,Andhra Pradesh,2012,265,360,525,0.112139438,375,250000
m,54.14,computer application,74.2,Karnataka,2013,265,420,310,0.144789889,295,145000
f,60,computer science & engineering,71.65,Haryana,2014,265,285,320,0.165633092,305,125000
m,63,computer application,55,Uttarakhand,2014,265,340,265,0.165633092,305,125000
f,66,computer science & engineering,61.25,Andhra Pradesh,2014,265,325,320,0.486747008,395,180000
m,81.2,information technology,67,Andhra Pradesh,2014,265,485,430,0.744758354,495,205000
m,48,computer application,59,Uttar Pradesh,2010,275,365,395,0.525922584,415,100000
f,83,electronics and communication engineering,76.3,Telangana,2013,275,390,340,0.229481755,214,300000
f,69,computer application,74,Andhra Pradesh,2014,275,415,310,0.080055281,315,120000
m,66.8,computer application,69.7,Punjab,2014,275,485,530,0.486747008,475,150000
m,73.8,mechanical engineering,69.75,Punjab,2014,275,400,385,0.725984148,365,225000
m,59.2,electronics and electrical engineering,67.9,Uttar Pradesh,2017,275,350,400,0.163630927,335,180000
m,83.1,computer science & engineering,67.87,Telangana,2013,280,530,430,0.23780284,545,155000
m,81.4,information technology,70,Uttar Pradesh,2011,285,585,635,0.600057182,435,400000
m,68,computer application,72,Uttar Pradesh,2013,285,410,515,0.377551419,375,180000
m,53,mechanical and automation,69,Punjab,2013,285,425,605,0.414337426,175,300000
m,68,information technology,72.18,Uttar Pradesh,2013,285,630,665,0.450876584,395,420000
m,63.4,computer science & engineering,68.41,Madhya Pradesh,2013,285,425,165,0.450876584,395,55000
m,81.25,computer science & engineering,75,Union Territory,2013,285,425,455,0.563267824,425,110000
f,74,computer application,78,Haryana,2013,285,560,545,0.81941653,505,300000
f,64,information technology,72.32,Telangana,2013,290,370,270,0.143256541,295,120000
f,63.6,computer science & engineering,65,Orissa,2013,290,285,270,0.486747008,555,85000
