,工業及服務業
高階主管(總經理及總執行長),149562
中階主管(經理),93729
監督人員(含現場及辦公室主任、科/股長),59293
數理工程及地球科學研究人員,70613
精算師(取得正式資格者),205375
統計及精算專業人員,78346
生命科學及生態環境研究人員,64978
農、林、漁、牧業專業人員,54644
品管、工管及生管工程師,57329
土木及水利工程師,59126
環境工程師,56785
航空機械工程師,73620
冷凍空調工程師,59650
機械工程師(含造船、輪機、鑄造),59276
食品工程師,54021
化學工程師,64452
地質、採礦、鑽探、冶金工程師,73636
紡織工程師,47070
醫療器材、醫學工程師,58272
生物科學工程師,56484
光學工程師,64676
電機、電子工程師,69180
電信工程師,90720
建築工程師(含建築師),60427
景觀設計師、都市及交通規劃師,52299
測量師及製圖師,49351
室內設計師,48695
平面及多媒體設計師,43539
產品及服裝設計師(含工業設計),52929
醫師,170534
護理人員,49202
獸醫師,47731
藥事人員(含藥師),56919
勞安及衛生管理人員(含工業安全管理師),55241
物理治療師,45719
營養師,43053
聽力及語言治療師,50856
職能治療師,45898
呼吸治療師,53509
醫院管理師,43051
其他醫療保健專業人員,49602
學前教育人員,39287
補教業教師,34605
會(審)計師,64905
風險控管人員,71766
財務及投資規劃分析人員,73221
專案管理師(含經營管理顧問),64817
稽核人員,72631
人力資源管理師,57234
廣告及行銷專業人員(含企劃),51228
公關專業人員,54383
資訊及通訊專業人員(含系統分析、程式設計、資料庫及網路專業人員),71065
律師,94610
專利工程師及公證人,62494
人文社會科學研究人員,63972
社工師、心理專業人員,44869
編輯、作家及有關撰稿人員,44527
新聞記者,48959
翻譯人員,39245
表演藝術人員(含演員、配音員),31073
電影、舞台及有關導演與製作人,46049
廣播、電視及其他媒體播報員,52033
其他專業人員,0
物理、化學及地球科學技術員,37405
營建工程技術員(含建築、土木、景觀、測量、水利、消防),45015
電機、電子技術員,43565
航空機械技術員,62792
冷凍空調技術員,40253
機械技術員(含造船、輪機、鑄造),41934
食品技術員,38702
化工技術員,45337
品管、工管及生管技術員,39644
製圖員,36735
地質、採礦、鑽探、冶金技術員,50384
環境工程技術員,38515
紡織技術員,36552
發電設備操作員,60380
焚化爐、水處理及氣(液)體設備操作員,48201
化學加工設備控制員,51655
石油及天然氣精煉設備操作員,62879
金屬生產製程控制員,44158
生命科學技術員,42290
農業技術及農業推廣人員,48600
船舶監管人員(含引水人員),134527
航空駕駛員,314777
飛航管制員,0
醫療設備控制技術員,48846
醫學及病理檢驗人員,48825
義肢、義齒等人體輔具技術員,32999
傳統醫學技術員,44945
牙醫助理,30282
病歷管理人員,34791
配鏡、驗光技術員,31545
物理、職能(復健)治療技術員,39183
勞安及衛生技術員,39744
其他醫療保健助理專業人員,34564
證券金融交易員及經紀人(含理財專員、承銷人員),77784
信用及貸款人員,58070
會計人員,49721
統計及精算助理專業人員,56691
財物及損失鑑價人員,47414
保險代理人(含保險業務員),53242
工商業銷售代表(含業務員),47434
採購員,44652
報關員(含報驗、船務人員),39808
會議及活動規劃人員,40894
職業介紹人及承包人,37375
不動產經紀人,43725
拍賣員(不含電子購物、郵購),0
專業秘書,53084
土地代書(地政士),0
法務人員,55710
社會工作助理人員,35643
職業運動員,126912
運動、健身及休閒娛樂指導員,42874
攝影師、攝影記者,38046
節目助理及舞台相關工作人員,35903
資訊管理及維護技術員,45828
廣播及視聽技術員(含放映員),39942
電信技術員,58337
總務,38209
辦公室綜合事務人員(含資料登錄、一般事務秘書),36973
銀行、郵局櫃台事務人員,51043
收帳、收費人員(含帳款催收),46732
旅遊諮詢人員(含旅行社事務人員),36115
接待員及服務台事務人員(含總機),34327
電話及網路客服人員,38987
統計調查訪談人員,37018
醫院(診所)櫃台事務人員,31018
會計助理、簿記、出納,36249
核保人員,49094
統計、財務、證券及保險事務人員,51369
存貨事務人員,36393
生產及物料規劃事務人員,39620
運輸事務人員(含稽查、調度、管理、航務),45591
人事事務人員,38128
郵件處理及投遞人員,52041
教務人員(含班導師、課輔人員),32892
隨車、船、飛機服務人員(含空服員),70427
導遊、領隊及解說員,31565
廚師,38928
飲料調配及調酒員,30980
餐飲服務人員(含餐食櫃台工作),33761
美髮、美容及造型設計人員,30335
旅館管家、舍監,32670
殯葬服務人員,38337
寵物美容師及動物照料工作人員,31456
按摩師,31254
銷售人員,35169
收銀員及售票員,34324
電話及網路行銷人員,40614
加油站服務員,33981
兒童照顧人員(含保母),31631
健康照顧人員(含看護、月子照護),32387
建築物管理員、保全及警衛人員,32811
救生員,33088
其他服務及銷售工作人員,0
園藝及農牧業生產人員,30513
砌磚及有關工作人員,36913
砌石、裁石及石雕人員,32819
鋼筋彎紮、模板及混凝土有關工作人員,42370
營建木作人員,39287
其他營建構造人員(含鷹架工、鋁門窗及廣告招牌製作安裝),36292
屋頂工作、地面牆面鋪設、泥作工作人員,38383
絕緣材料、玻璃安裝人員,33753
管道裝設人員(含檢修),38918
空調及冷凍機械裝修人員,36413
油漆、噴漆人員(含裱糊工),35677
金屬砂模及砂心製造人員,32081
焊接及切割人員(含電焊工、氣焊工),37857
板金人員,35982
金屬結構預備及組合人員,39754
鍛造、錘造及鍛壓工作人員,34985
工具製造人員(含模具工、鉗工),35916
金屬工具機設定及操作人員,33209
車輛維修人員(含自行車、機車、汽車、火車),40514
航空器維修人員,54058
產業用機器維修人員,42778
精密儀器製造及修理人員,42817
樂器製造及調音人員,32984
珠寶及貴金屬製作人員,42358
陶瓷製品有關工作人員(含磚瓦),32462
玻璃製品製造人員,36486
各種材質手工藝人員,31213
美編、印刷及有關工作人員(含印刷前置、裝訂),33231
電力、電子、資通訊設備裝修人員(含水電工),40607
食品製造及處理人員(含酒類、飲料、製糖、菸葉),32715
產品分級及檢查人員,30963
木材處理、家具木工及有關工作人員,30336
