,工業及服務業
高階主管(總經理及總執行長),83319 
中階主管(經理),267566 
監督人員(含現場及辦公室主任、科/股長),618198 
數理工程及地球科學研究人員,824 
精算師(取得正式資格者),42 
統計及精算專業人員,1175 
生命科學及生態環境研究人員,2998 
農、林、漁、牧業專業人員,1486 
品管、工管及生管工程師,54480 
土木及水利工程師,13275 
環境工程師,7458 
航空機械工程師,1487 
冷凍空調工程師,3119 
機械工程師(含造船、輪機、鑄造),49692 
食品工程師,2091 
化學工程師,21834 
地質、採礦、鑽探、冶金工程師,573 
紡織工程師,1536 
醫療器材、醫學工程師,1915 
生物科學工程師,5490 
光學工程師,4528 
電機、電子工程師,137632 
電信工程師,11277 
建築工程師(含建築師),6531 
景觀設計師、都市及交通規劃師,992 
測量師及製圖師,2529 
室內設計師,7760 
平面及多媒體設計師,24375 
產品及服裝設計師(含工業設計),19649 
醫師,53810 
護理人員,170288 
獸醫師,454 
藥事人員(含藥師),23611 
勞安及衛生管理人員(含工業安全管理師),13333 
物理治療師,6785 
營養師,2767 
聽力及語言治療師,1650 
職能治療師,4029 
呼吸治療師,2153 
醫院管理師,2675 
其他醫療保健專業人員,6879 
學前教育人員,48279 
補教業教師,25937 
會(審)計師,5400 
風險控管人員,5769 
財務及投資規劃分析人員,11530 
專案管理師(含經營管理顧問),37502 
稽核人員,9387 
人力資源管理師,17966 
廣告及行銷專業人員(含企劃),74574 
公關專業人員,3999 
資訊及通訊專業人員(含系統分析、程式設計、資料庫及網路專業人員),154082 
律師,2669 
專利工程師及公證人,2884 
人文社會科學研究人員,2717 
社工師、心理專業人員,4832 
編輯、作家及有關撰稿人員,6124 
新聞記者,3270 
翻譯人員,3780 
表演藝術人員(含演員、配音員),1864 
電影、舞台及有關導演與製作人,2134 
廣播、電視及其他媒體播報員,571 
其他專業人員,0 
物理、化學及地球科學技術員,73 
營建工程技術員(含建築、土木、景觀、測量、水利、消防),45971 
電機、電子技術員,121315 
航空機械技術員,2495 
冷凍空調技術員,5127 
機械技術員(含造船、輪機、鑄造),67757 
食品技術員,10496 
化工技術員,22695 
品管、工管及生管技術員,108879 
製圖員,33489 
地質、採礦、鑽探、冶金技術員,323 
環境工程技術員,12052 
紡織技術員,6685 
發電設備操作員,1241 
焚化爐、水處理及氣(液)體設備操作員,4625 
化學加工設備控制員,1279 
石油及天然氣精煉設備操作員,3463 
金屬生產製程控制員,3282 
生命科學技術員,2717 
農業技術及農業推廣人員,2508 
船舶監管人員(含引水人員),628 
航空駕駛員,3293 
飛航管制員,0 
醫療設備控制技術員,7267 
醫學及病理檢驗人員,9895 
義肢、義齒等人體輔具技術員,428 
傳統醫學技術員,878 
牙醫助理,8077 
病歷管理人員,3330 
配鏡、驗光技術員,3726 
物理、職能(復健)治療技術員,1878 
勞安及衛生技術員,14974 
其他醫療保健助理專業人員,14417 
證券金融交易員及經紀人(含理財專員、承銷人員),49354 
信用及貸款人員,20793 
會計人員,40686 
統計及精算助理專業人員,873 
財物及損失鑑價人員,3397 
保險代理人(含保險業務員),79034 
工商業銷售代表(含業務員),349298 
採購員,68169 
報關員(含報驗、船務人員),9984 
會議及活動規劃人員,3129 
職業介紹人及承包人,3522 
